ID,Movie,COSTS(Million_USD),REVENUE(Million_USD)
JL,Justice League,300,229
FotF,The Fate of the Furious,250,226
BatB,Beauty and the Beast,231,717
Split,Split,5,110
GO,Get Out,5,90
KA:LotS,King Arthur: Legend of the Sword,200,84
MT,Monster Trucks,149,40
Promise,The Promise,100,6
VatCoaTP,Valerian and the City of a Thousand Planets,202,118
WW,Wonder Woman,120,413
GT,Girls Trip,19,138
Wonder,Wonder,20,155
It,It,35,695
DT,The Dark Tower,60,51
Geostorm,Geostorm,120,33
SW:TLJ,Star Wars: The Last Jedi,250,620
